"State,City",Population
"New York,New York",18972871
"California,Los Angeles",12121244
"Illinois,Chicago",8595181
"Florida,Miami",5711945
"Texas,Dallas",5668165
"Texas,Houston",5650910
"Pennsylvania,Philadelphia",5512873
"Georgia,Atlanta",5046555
"District of Columbia,Washington",4810669
"Massachusetts,Boston",4208580
"Arizona,Phoenix",4047095
"Michigan,Detroit",3522856
"Washington,Seattle",3438221
"California,San Francisco",3290197
"California,San Diego",3084174
"Minnesota,Minneapolis",2856952
"New York,Brooklyn",2736074
"Florida,Tampa",2683956
"Colorado,Denver",2650725
"New York,Queens",2405464
"Maryland,Baltimore",2205092
"Nevada,Las Vegas",2150373
"Missouri,St. Louis",2092481
"Oregon,Portland",2036875
"California,Riverside",2022285
"Florida,Orlando",1927699
"California,Sacramento",1924167
"Puerto Rico,San Juan",1915105
"Texas,San Antonio",1910785
"California,San Jose",1729879
"Pennsylvania,Pittsburgh",1720279
"Ohio,Cincinnati",1712287
"New York,Manhattan",1694263
"Ohio,Cleveland",1683059
"Indiana,Indianapolis",1659305
"Texas,Austin",1659251
"Missouri,Kansas City",1644497
"Ohio,Columbus",1556848
"North Carolina,Charlotte",1516107
"Virginia,Virginia Beach",1500764
"New York,Bronx",1472654
"Wisconsin,Milwaukee",1340981
"Rhode Island,Providence",1270149
"Florida,Jacksonville",1220191
"Utah,Salt Lake City",1135344
"Tennessee,Nashville",1098486
"North Carolina,Raleigh",1062018
"Tennessee,Memphis",1034498
"Kentucky,Louisville",1022630
"Virginia,Richmond",1008069
"New York,Buffalo",1004655
"Oklahoma,Oklahoma City",994284
"Connecticut,Bridgeport",975078
"Louisiana,New Orleans",925443
"Texas,Fort Worth",908469
"Connecticut,Hartford",907046
"Arizona,Tucson",875284
"Hawaii,Honolulu",835291
"Texas,McAllen",809002
"Nebraska,Omaha",806485
"Texas,El Paso",794344
"New Mexico,Albuquerque",765693
"New York,Rochester",737309
"Florida,Sarasota",727388
"California,Fresno",719558
"Oklahoma,Tulsa",715983
"Pennsylvania,Allentown",714136
"Ohio,Dayton",709300
"Alabama,Birmingham",704676
"South Carolina,Charleston",685517
"Florida,Cape Coral",682773
"South Carolina,Columbia",640502
"California,Concord",640270
"Colorado,Colorado Springs",628808
"Massachusetts,Springfield",620494
"Tennessee,Knoxville",619925
